AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images,score,userCue,personal_details,cue,associations,candidates,num_associations,annotation_index
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,15,"[""mustache.jpg"", ""waistband.jpg""]",67,male,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",male,"[""mustache"", ""waistband""]","[""mustache"", ""cat"", ""diary"", ""waistband"", ""nebula""]",2,0
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,0,"[""costume.jpg"", ""pumpkin.jpg"", ""candy.jpg""]",50,halloween,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",halloween,"[""costume"", ""pumpkin"", ""candy""]","[""troll"", ""costume"", ""pumpkin"", ""candy"", ""pigeon""]",3,1
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,3,"[""water.jpg"", ""submarine.jpg"", ""sink.jpg""]",50,sink,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",sink,"[""water"", ""submarine"", ""sink""]","[""air"", ""water"", ""iris"", ""submarine"", ""sink""]",3,2
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,9,"[""fat.jpg"", ""tummy.jpg""]",67,weight,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",weight,"[""fat"", ""tummy""]","[""magician"", ""fat"", ""button"", ""laboratory"", ""tummy""]",2,3
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,17,"[""lobe.jpg"", ""phone.jpg""]",67,calculator,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",calculator,"[""lobe"", ""phone""]","[""toothbrush"", ""landscape"", ""book"", ""lobe"", ""phone""]",2,4
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,29,"[""dirty.jpg"", ""dirt.jpg""]",67,wash,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",wash,"[""dirty"", ""dirt""]","[""dirty"", ""ink"", ""quarter"", ""ram"", ""dirt"", ""arachnid""]",2,5
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,31,"[""opera.jpg"", ""march.jpg""]",100,costume,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",costume,"[""opera"", ""march""]","[""line"", ""parade"", ""guacamole"", ""opera"", ""march"", ""list""]",2,6
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,32,"[""steakhouse.jpg"", ""church.jpg"", ""waterfall.jpg""]",80,resort,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",resort,"[""steakhouse"", ""church"", ""waterfall""]","[""steakhouse"", ""church"", ""toaster"", ""waterfall"", ""bullseye"", ""bible""]",3,7
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,27,"[""garden.jpg"", ""green.jpg""]",67,foliage,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",foliage,"[""garden"", ""green""]","[""letter"", ""garden"", ""green"", ""olive"", ""bush"", ""group""]",2,8
39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,38,"[""floss.jpg"", ""shave.jpg""]",100,routine,"{""ages"": 39, ""gender"": ""male"", ""education"": ""Bachelor"", ""speaker"": ""Native""}",routine,"[""floss"", ""shave""]","[""pet"", ""floss"", ""shave"", ""limo"", ""child"", ""typewriter""]",2,9
3LWJHTCVCD8XYKVDMLNMIWAV6EAFQP,A14GKRTUEHBLBZ,3OCZWXS7ZOTSJ6OHY2XFQEOWPULL5N,Approved,2022-05-09 02:04:01+03:00,15,"[""mustache.jpg"", ""waistband.jpg""]",67,power,"{""ages"": 33, ""gender"": ""female"", ""education"": ""Master"", ""speaker"": ""Native""}",power,"[""mustache"", ""waistband""]","[""mustache"", ""cat"", ""diary"", ""waistband"", ""nebula""]",2,10
3LWJHTCVCD8XYKVDMLNMIWAV6EAFQP,A14GKRTUEHBLBZ,3OCZWXS7ZOTSJ6OHY2XFQEOWPULL5N,Approved,2022-05-09 02:04:01+03:00,0,"[""troll.jpg"", ""costume.jpg""]",0,creepy,"{""ages"": 33, ""gender"": ""female"", ""education"": ""Master"", ""speaker"": ""Native""}",creepy,"[""troll"", ""costume""]","[""troll"", ""costume"", ""pumpkin"", ""candy"", ""pigeon""]",2,11
3LWJHTCVCD8XYKVDMLNMIWAV6EAFQP,A14GKRTUEHBLBZ,3OCZWXS7ZOTSJ6OHY2XFQEOWPULL5N,Approved,2022-05-09 02:04:01+03:00,3,"[""water.jpg"", ""sink.jpg""]",67,pristine,"{""ages"": 33, ""gender"": ""female"", ""education"": ""Master"", ""speaker"": ""Native""}",pristine,"[""water"", ""sink""]","[""air"", ""water"", ""iris"", ""submarine"", ""sink""]",2,12
3LWJHTCVCD8XYKVDMLNMIWAV6EAFQP,A14GKRTUEHBLBZ,3OCZWXS7ZOTSJ6OHY2XFQEOWPULL5N,Approved,2022-05-09 02:04:01+03:00,9,"[""fat.jpg"", ""laboratory.jpg"", ""tummy.jpg""]",50,progeny,"{""ages"": 33, ""gender"": ""female"", ""education"": ""Master"", ""speaker"": ""Native""}",progeny,"[""fat"", ""laboratory"", ""tummy""]","[""magician"", ""fat"", ""button"", ""laboratory"", ""tummy""]",3,13
3LWJHTCVCD8XYKVDMLNMIWAV6EAFQP,A14GKRTUEHBLBZ,3OCZWXS7ZOTSJ6OHY2XFQEOWPULL5N,Approved,2022-05-09 02:04:01+03:00,17,"[""landscape.jpg"", ""book.jpg""]",67,inspiration,"{""ages"": 33, ""gender"": ""female"", ""education"": ""Master"", ""speaker"": ""Native""}",inspiration,"[""landscape"", ""book""]","[""toothbrush"", ""landscape"", ""book"", ""lobe"", ""phone""]",2,14
3LWJHTCVCD8XYKVDMLNMIWAV6EAFQP,A14GKRTUEHBLBZ,3OCZWXS7ZOTSJ6OHY2XFQEOWPULL5N,Approved,2022-05-09 02:04:01+03:00,29,"[""ink.jpg"", ""arachnid.jpg""]",67,darkness,"{""ages"": 33, ""gender"": ""female"", ""education"": ""Master"", ""speaker"": ""Native""}",darkness,"[""ink"", ""arachnid""]","[""dirty"", ""ink"", ""quarter"", ""ram"", ""dirt"", ""arachnid""]",2,15
3LWJHTCVCD8XYKVDMLNMIWAV6EAFQP,A14GKRTUEHBLBZ,3OCZWXS7ZOTSJ6OHY2XFQEOWPULL5N,Approved,2022-05-09 02:04:01+03:00,31,"[""parade.jpg"", ""opera.jpg"", ""march.jpg""]",50,show,"{""ages"": 33, ""gender"": ""female"", ""education"": ""Master"", ""speaker"": ""Native""}",show,"[""parade"", ""opera"", ""march""]","[""line"", ""parade"", ""guacamole"", ""opera"", ""march"", ""list""]",3,16
3LWJHTCVCD8XYKVDMLNMIWAV6EAFQP,A14GKRTUEHBLBZ,3OCZWXS7ZOTSJ6OHY2XFQEOWPULL5N,Approved,2022-05-09 02:04:01+03:00,32,"[""steakhouse.jpg"", ""church.jpg"", ""waterfall.jpg""]",100,perfection,"{""ages"": 33, ""gender"": ""female"", ""education"": ""Master"", ""speaker"": ""Native""}",perfection,"[""steakhouse"", ""church"", ""waterfall""]","[""steakhouse"", ""church"", ""toaster"", ""waterfall"", ""bullseye"", ""bible""]",3,17
3LWJHTCVCD8XYKVDMLNMIWAV6EAFQP,A14GKRTUEHBLBZ,3OCZWXS7ZOTSJ6OHY2XFQEOWPULL5N,Approved,2022-05-09 02:04:01+03:00,27,"[""olive.jpg"", ""bush.jpg""]",67,greasy,"{""ages"": 33, ""gender"": ""female"", ""education"": ""Master"", ""speaker"": ""Native""}",greasy,"[""olive"", ""bush""]","[""letter"", ""garden"", ""green"", ""olive"", ""bush"", ""group""]",2,18
