,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard,personal_details
0,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,16,"['stewardess.jpg', 'van.jpg', 'snake.jpg', 'limp.jpg', 'cat.jpg']","{'snake.jpg', 'cat.jpg'}","{'snake.jpg', 'van.jpg'}",0.3333333333333333,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
1,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,11,"['cobra.jpg', 'ruler.jpg', 'penguin.jpg', 'notebook.jpg', 'king.jpg']","{'penguin.jpg', 'ruler.jpg', 'king.jpg'}","{'penguin.jpg', 'ruler.jpg', 'king.jpg'}",1.0,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
2,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,18,"['crane.jpg', 'microscope.jpg', 'van.jpg', 'woods.jpg', 'bush.jpg']","{'woods.jpg', 'bush.jpg'}","{'woods.jpg', 'bush.jpg'}",1.0,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
3,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,8,"['food.jpg', 'groundhog.jpg', 'drool.jpg', 'pie.jpg', 'cheese.jpg']","{'cheese.jpg', 'pie.jpg', 'food.jpg'}","{'cheese.jpg', 'food.jpg', 'drool.jpg'}",0.5,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
4,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,1,"['salt.jpg', 'bread.jpg', 'landlord.jpg', 'witch.jpg', 'snack.jpg']","{'snack.jpg', 'bread.jpg', 'salt.jpg'}","{'snack.jpg', 'bread.jpg', 'salt.jpg'}",1.0,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
5,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,24,"['mirror.jpg', 'snot.jpg', 'pond.jpg', 'vitamin.jpg', 'eating.jpg', 'water.jpg']","{'pond.jpg', 'mirror.jpg', 'water.jpg'}","{'pond.jpg', 'vitamin.jpg', 'mirror.jpg'}",0.5,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
6,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,25,"['pat.jpg', 'arc.jpg', 'horn.jpg', 'newt.jpg', 'fire.jpg', 'lizard.jpg']","{'newt.jpg', 'fire.jpg', 'lizard.jpg'}","{'newt.jpg', 'lizard.jpg', 'arc.jpg'}",0.5,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
7,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,30,"['insect.jpg', 'clock.jpg', 'woodwind.jpg', 'bug.jpg', 'jacket.jpg', 'wrench.jpg']","{'bug.jpg', 'insect.jpg', 'clock.jpg'}","{'woodwind.jpg', 'jacket.jpg', 'clock.jpg'}",0.2,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
8,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,37,"['crowd.jpg', 'teddy.jpg', 'skin.jpg', 'diamond.jpg', 'tin.jpg', 'crust.jpg']","{'diamond.jpg', 'skin.jpg'}","{'crowd.jpg', 'teddy.jpg'}",0.0,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
9,3MX2NQ3YCAGP5K302N563ODWD42X5C,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKWJ7J1A,Submitted,2022-05-06 00:23:33+03:00,39,"['road.jpg', 'homework.jpg', 'air force.jpg', 'weed.jpg', 'goose.jpg', 'morse code.jpg']","{'road.jpg', 'goose.jpg'}","{'homework.jpg', 'goose.jpg'}",0.3333333333333333,"{'ages': 30, 'gender': 'male', 'education': 'Master', 'speaker': 'NoneNative'}"
